NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR
Harvey,HURRICANE-3,5,27.50,-96.50,08/25 6:00 PM,110,941
Harvey,HURRICANE-4,6,28.00,-97.00,08/26 12:00 AM,115,938
Harvey,HURRICANE-2,4,28.50,-97.20,08/26 6:00 AM,85,963
Harvey,HURRICANE-1,3,28.90,-97.30,08/26 12:00 PM,65,984
Harvey,TROPICAL STORM,2,29.10,-97.60,08/26 6:00 PM,55,990
Harvey,TROPICAL STORM,2,29.30,-97.30,08/27 12:00 AM,45,994
Harvey,TROPICAL STORM,2,29.20,-97.70,08/27 6:00 AM,40,998
Harvey,TROPICAL STORM,2,29.00,-97.40,08/27 12:00 PM,35,1000
Harvey,TROPICAL STORM,2,29.00,-97.00,08/27 6:00 PM,35,1000
Harvey,TROPICAL STORM,2,28.80,-96.60,08/28 12:00 AM,35,1000
Harvey,TROPICAL STORM,2,28.60,-96.30,08/28 6:00 AM,35,998
Harvey,TROPICAL STORM,2,28.50,-96.00,08/28 12:00 PM,35,997
Harvey,TROPICAL STORM,2,28.50,-95.70,08/28 6:00 PM,40,997
Harvey,TROPICAL STORM,2,28.20,-95.30,08/29 12:00 AM,40,997
Harvey,TROPICAL STORM,2,28.10,-94.80,08/29 6:00 AM,40,997
Harvey,TROPICAL STORM,2,28.40,-94.30,08/29 12:00 PM,40,997
Harvey,TROPICAL STORM,2,29.20,-94.30,08/29 6:00 PM,45,994
Harvey,TROPICAL STORM,2,29.00,-93.60,08/30 12:00 AM,45,994
Harvey,TROPICAL STORM,2,29.80,-93.40,08/30 6:00 AM,40,990
Harvey,TROPICAL STORM,2,30.50,-93.30,08/30 12:00 PM,40,993
Harvey,TROPICAL STORM,2,30.80,-93.10,08/30 6:00 PM,35,998
Harvey,TROPICAL DEPRESSION,1,31.70,-92.30,08/31 12:00 AM,30,998
Harvey,TROPICAL DEPRESSION,1,32.30,-92.00,08/31 6:00 AM,25,998
Harvey,TROPICAL DEPRESSION,1,32.50,-91.40,08/31 12:00 PM,15,1002
Harvey,TROPICAL DEPRESSION,1,33.80,-90.50,08/31 6:00 PM,15,1000
Harvey,TROPICAL DEPRESSION,1,34.30,-89.00,09/01 12:00 AM,25,1000
Harvey,TROPICAL DEPRESSION,1,35.70,-87.20,09/01 6:00 AM,25,1001
Irma,TROPICAL STORM,2,16.40000000,-30.30000000,08/30 12:00 PM,45,1004
Irma,TROPICAL STORM,2,16.40000000,-31.20000000,08/30 6:00 PM,50,1001
Irma,TROPICAL STORM,2,16.40000000,-32.20000000,08/31 12:00 AM,55,999
Irma,TROPICAL STORM,2,16.50000000,-32.90000000,08/31 6:00 AM,60,997
Irma,HURRICANE-2,4,16.90000000,-33.80000000,08/31 12:00 PM,85,979
Irma,HURRICANE-3,5,17.30000000,-34.80000000,08/31 6:00 PM,100,967
Irma,HURRICANE-3,5,17.80000000,-35.60000000,09/01 12:00 AM,100,967
Irma,HURRICANE-3,5,18.20000000,-36.50000000,09/01 6:00 AM,100,967
Irma,HURRICANE-2,4,18.50000000,-37.80000000,09/01 12:00 PM,95,972
Irma,HURRICANE-3,5,18.80000000,-39.10000000,09/01 6:00 PM,105,964
Irma,HURRICANE-3,5,19.10000000,-40.50000000,09/02 12:00 AM,100,967
Irma,HURRICANE-2,4,19.00000000,-41.80000000,09/02 6:00 AM,95,970
