ADV,LAT,LON,TIME,WIND,PR,STAT
2,12.30,-52.60,09/16/18Z,45,1002,TROPICALSTORM
3,12.50,-53.70,09/17/00Z,45,1002,TROPICALSTORM
4,13.00,-54.90,09/17/06Z,55,994,TROPICALSTORM
5,13.50,-56.20,09/17/12Z,55,994,TROPICALSTORM
6,13.80,-57.50,09/17/18Z,65,982,HURRICANE-1
7,14.20,-58.40,09/18/00Z,75,979,HURRICANE-1
8,14.60,-59.50,09/18/06Z,80,977,HURRICANE-1
9,14.70,-60.10,09/18/12Z,105,959,HURRICANE-3
10,15.10,-60.70,09/18/18Z,115,950,HURRICANE-4
11,15.30,-61.10,09/18/18Z,140,925,HURRICANE-5
12,15.50,-61.40,09/19/00Z,140,924,HURRICANE-5
13,16.00,-62.30,09/19/06Z,135,934,HURRICANE-4
14,16.30,-63.10,09/19/12Z,140,927,HURRICANE-5
15,16.80,-64.00,09/19/18Z,145,916,HURRICANE-5
16,17.30,-64.70,09/20/00Z,150,909,HURRICANE-5
17,17.90,-65.60,09/20/06Z,135,917,HURRICANE-4
18,18.40,-66.50,09/20/12Z,120,930,HURRICANE-4
19,18.80,-67.30,09/20/18Z,95,957,HURRICANE-2
20,19.20,-67.90,09/21/00Z,95,959,HURRICANE-2
21,19.60,-68.40,09/21/06Z,100,959,HURRICANE-3
22,20.20,-69.10,09/21/12Z,100,960,HURRICANE-3
23,20.80,-69.80,09/21/18Z,105,960,HURRICANE-3
24,21.00,-70.20,09/22/00Z,110,955,HURRICANE-3
25,21.60,-70.60,09/22/06Z,110,959,HURRICANE-3
26,22.30,-71.00,09/22/12Z,110,958,HURRICANE-3
27,23.30,-71.40,09/22/18Z,110,959,HURRICANE-3
28,24.10,-71.70,09/23/00Z,110,954,HURRICANE-3
29,24.80,-72.00,09/23/06Z,105,952,HURRICANE-3
30,25.40,-72.30,09/23/12Z,100,952,HURRICANE-3
31,26.30,-72.50,09/23/18Z,100,950,HURRICANE-3
32,27.00,-72.50,09/24/00Z,100,942,HURRICANE-3
33,27.90,-72.70,09/24/06Z,95,948,HURRICANE-2
34,28.70,-72.90,09/24/12Z,90,947,HURRICANE-2
35,29.40,-73.00,09/24/18Z,90,941,HURRICANE-2
36,30.00,-73.00,09/25/00Z,80,950,HURRICANE-1
37,30.60,-73.00,09/25/06Z,70,957,HURRICANE-1
38,31.20,-72.90,09/25/12Z,70,963,HURRICANE-1
39,31.70,-73.10,09/25/18Z,70,965,HURRICANE-1
40,32.30,-73.10,09/26/00Z,70,969,HURRICANE-1
41,32.90,-73.10,09/26/06Z,65,970,HURRICANE-1
42,33.60,-73.10,09/26/12Z,65,971,HURRICANE-1
43,34.10,-73.00,09/26/18Z,60,974,TROPICALSTORM
44,34.90,-72.90,09/27/00Z,60,975,TROPICALSTORM
45,35.10,-72.90,09/27/06Z,60,976,TROPICALSTORM
46,35.60,-72.60,09/27/12Z,65,978,HURRICANE-1
47,36.20,-72.10,09/27/18Z,65,979,HURRICANE-1
48,36.80,-71.50,09/28/00Z,65,979,HURRICANE-1
49,36.80,-71.00,09/28/06Z,60,982,TROPICALSTORM
50,36.80,-69.30,09/28/12Z,60,982,TROPICALSTORM
51,36.80,-67.80,09/28/18Z,55,985,TROPICALSTORM
52,37.10,-65.50,09/29/00Z,55,985,TROPICALSTORM
53,37.20,-63.30,09/29/06Z,50,987,TROPICALSTORM
54,37.50,-60.10,09/29/12Z,50,988,TROPICALSTORM
55,37.80,-57.40,09/29/18Z,50,988,TROPICALSTORM
56,38.60,-53.90,09/30/00Z,50,988,TROPICALSTORM
57,39.60,-50.50,09/30/06Z,50,988,TROPICALSTORM
58,40.70,-47.20,09/30/12Z,50,989,TROPICALSTORM
