NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR,YEAR
Arthur,LOW,0,32,-78.2,06/28 6:00 PM,20,1017,2014
Arthur,LOW,0,31.2,-77.8,06/29 12:00 AM,20,1017,2014
Arthur,LOW,0,30.5,-77.4,06/29 6:00 AM,20,1017,2014
Arthur,LOW,0,30,-77.2,06/29 12:00 PM,20,1016,2014
Arthur,LOW,0,29.7,-77.2,06/29 6:00 PM,25,1015,2014
Arthur,LOW,0,29.5,-77.5,06/30 12:00 AM,25,1014,2014
Arthur,LOW,0,29.2,-78,06/30 6:00 AM,25,1013,2014
Arthur,LOW,0,28.7,-78.4,06/30 12:00 PM,25,1011,2014
Arthur,LOW,0,28.1,-78.7,06/30 6:00 PM,30,1010,2014
Arthur,TROPICAL DEPRESSION,1,27.7,-78.9,07/01 12:00 AM,30,1008,2014
Arthur,TROPICAL DEPRESSION,1,27.5,-79.1,07/01 6:00 AM,30,1007,2014
Arthur,TROPICAL STORM,2,27.5,-79.2,07/01 12:00 PM,35,1005,2014
Arthur,TROPICAL STORM,2,27.7,-79.3,07/01 6:00 PM,40,1003,2014
Arthur,TROPICAL STORM,2,27.9,-79.2,07/02 12:00 AM,45,999,2014
Arthur,TROPICAL STORM,2,28.2,-79.1,07/02 6:00 AM,50,995,2014
Arthur,TROPICAL STORM,2,28.7,-79,07/02 12:00 PM,55,995,2014
Arthur,TROPICAL STORM,2,29.4,-79.1,07/02 6:00 PM,60,994,2014
Arthur,HURRICANE-1,3,30.1,-79.2,07/03 12:00 AM,65,987,2014
Arthur,HURRICANE-1,3,30.9,-79.1,07/03 6:00 AM,70,984,2014
Arthur,HURRICANE-1,3,31.8,-78.8,07/03 12:00 PM,80,981,2014
Arthur,HURRICANE-1,3,32.9,-78.3,07/03 6:00 PM,80,978,2014
Arthur,HURRICANE-2,4,34,-77.3,07/04 12:00 AM,85,975,2014
Arthur,HURRICANE-2,4,34.7,-76.6,07/04 3:00 AM,85,973,2014
Arthur,HURRICANE-2,4,35.3,-76,07/04 6:00 AM,85,972,2014
Arthur,HURRICANE-2,4,35.8,-75.5,07/04 8:00 AM,85,973,2014
Arthur,HURRICANE-1,3,36.8,-74.4,07/04 12:00 PM,80,976,2014
Arthur,HURRICANE-1,3,38.4,-72.4,07/04 6:00 PM,70,978,2014
Arthur,HURRICANE-1,3,40.2,-69.7,07/05 12:00 AM,65,976,2014
Arthur,TROPICAL STORM,2,42.3,-67.6,07/05 6:00 AM,60,981,2014
Arthur,EXTRATROPICAL STORM,0,44.1,-66.5,07/05 12:00 PM,60,982,2014
Arthur,EXTRATROPICAL STORM,0,45.9,-65.3,07/05 6:00 PM,55,980,2014
Arthur,EXTRATROPICAL STORM,0,47.1,-64,07/06 12:00 AM,50,981,2014
Arthur,EXTRATROPICAL STORM,0,47.6,-62.4,07/06 6:00 AM,45,982,2014
Arthur,EXTRATROPICAL STORM,0,48.5,-60.2,07/06 12:00 PM,40,986,2014
Arthur,EXTRATROPICAL STORM,0,50.3,-58.1,07/06 6:00 PM,35,989,2014
Arthur,EXTRATROPICAL STORM,0,52.3,-56.4,07/07 12:00 AM,35,988,2014
Arthur,EXTRATROPICAL STORM,0,54.2,-55.4,07/07 6:00 AM,35,985,2014
Arthur,EXTRATROPICAL STORM,0,56,-54.7,07/07 12:00 PM,35,984,2014
Arthur,EXTRATROPICAL STORM,0,57.3,-54.2,07/07 6:00 PM,40,985,2014
Arthur,EXTRATROPICAL STORM,0,58.1,-54.1,07/08 12:00 AM,45,988,2014
Arthur,EXTRATROPICAL STORM,0,58.9,-54.7,07/08 6:00 AM,40,991,2014
Arthur,EXTRATROPICAL STORM,0,59.4,-56.1,07/08 12:00 PM,35,993,2014
Arthur,EXTRATROPICAL DEPRESSION,0,60,-57,07/08 6:00 PM,30,995,2014
Arthur,EXTRATROPICAL DEPRESSION,0,60.3,-56.7,07/09 12:00 AM,30,997,2014
Arthur,EXTRATROPICAL DEPRESSION,0,60.1,-56.2,07/09 6:00 AM,25,1001,2014
Arthur,EXTRATROPICAL DEPRESSION,0,59.8,-55.7,07/09 12:00 PM,25,1005,2014
Arthur,EXTRATROPICAL DEPRESSION,0,59.5,-55,07/09 6:00 PM,25,1008,2014
Bertha,LOW,0,9.6,-37.1,07/29 6:00 AM,25,1013,2014
Bertha,LOW,0,9.5,-38.6,07/29 12:00 PM,30,1012,2014
Bertha,LOW,0,9.5,-40.1,07/29 6:00 PM,30,1012,2014
Bertha,LOW,0,9.6,-41.5,07/30 12:00 AM,30,1012,2014
Bertha,LOW,0,9.7,-43,07/30 6:00 AM,30,1012,2014
Bertha,LOW,0,9.8,-44.7,07/30 12:00 PM,30,1012,2014
Bertha,LOW,0,10,-46.4,07/30 6:00 PM,30,1011,2014
Bertha,LOW,0,10.4,-48,07/31 12:00 AM,35,1010,2014
Bertha,LOW,0,10.7,-49.7,07/31 6:00 AM,35,1009,2014
Bertha,LOW,0,11,-51.4,07/31 12:00 PM,40,1008,2014
Bertha,LOW,0,11.5,-53.1,07/31 6:00 PM,40,1007,2014
Bertha,TROPICAL STORM,2,12.2,-54.6,08/01 12:00 AM,40,1007,2014
Bertha,TROPICAL STORM,2,13,-56.2,08/01 6:00 AM,40,1007,2014
Bertha,TROPICAL STORM,2,13.8,-58.1,08/01 12:00 PM,45,1006,2014
Bertha,TROPICAL STORM,2,14.5,-60.3,08/01 6:00 PM,45,1006,2014
Bertha,TROPICAL STORM,2,15.2,-62.3,08/02 12:00 AM,45,1007,2014
Bertha,TROPICAL STORM,2,15.9,-64.1,08/02 6:00 AM,40,1008,2014
Bertha,TROPICAL STORM,2,16.7,-65.9,08/02 12:00 PM,40,1009,2014
Bertha,TROPICAL STORM,2,17.9,-67.6,08/02 6:00 PM,40,1010,2014
Bertha,TROPICAL STORM,2,19.2,-69,08/03 12:00 AM,40,1011,2014
Bertha,TROPICAL STORM,2,20.3,-70.4,08/03 6:00 AM,40,1012,2014
Bertha,TROPICAL STORM,2,21.4,-71.6,08/03 12:00 PM,40,1013,2014
Bertha,TROPICAL STORM,2,21.8,-71.9,08/03 2:00 PM,40,1013,2014
