NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR,YEAR
Franklin,TROPICAL STORM,2,16.40,-83.00,08/07 12:00 AM,35,1006,2017
Franklin,TROPICAL STORM,2,17.10,-84.20,08/07 6:00 AM,40,1005,2017
Franklin,TROPICAL STORM,2,17.70,-85.10,08/07 12:00 PM,50,999,2017
Franklin,TROPICAL STORM,2,18.60,-85.90,08/07 6:00 PM,50,998,2017
Franklin,TROPICAL STORM,2,19.10,-87.30,08/08 12:00 AM,50,995,2017
Franklin,TROPICAL STORM,2,19.30,-88.50,08/08 6:00 AM,45,998,2017
Franklin,TROPICAL STORM,2,19.60,-89.60,08/08 12:00 PM,40,1001,2017
Franklin,TROPICAL STORM,2,20.20,-90.30,08/08 6:00 PM,35,1001,2017
Franklin,TROPICAL STORM,2,20.30,-91.30,08/09 12:00 AM,45,996,2017
Franklin,TROPICAL STORM,2,20.40,-92.70,08/09 6:00 AM,55,994,2017
Franklin,TROPICAL STORM,2,20.20,-93.90,08/09 12:00 AM,60,985,2017
Franklin,HURRICANE-1,3,20.10,-94.90,08/09 6:00 PM,65,984,2017
Franklin,HURRICANE-1,3,20.20,-96.10,08/10 12:00 AM,75,985,2017
Franklin,TROPICAL STORM,2,19.90,-97.60,08/10 6:00 AM,60,992,2017
Gert,TROPICAL DEPRESSION,1,25.30,-70.30,08/13 12:00 AM,30,1011,2017
Gert,TROPICAL DEPRESSION,1,26.50,-70.90,08/13 6:00 AM,30,1011,2017
Gert,TROPICAL DEPRESSION,1,27.40,-71.50,08/13 12:00 PM,30,1011,2017
Gert,TROPICAL STORM,2,28.10,-71.70,08/13 6:00 PM,35,1011,2017
Gert,TROPICAL STORM,2,28.80,-71.90,08/14 12:00 AM,40,1009,2017
Gert,TROPICAL STORM,2,29.70,-72.20,08/14 6:00 AM,40,1009,2017
Gert,TROPICAL STORM,2,30.30,-72.20,08/14 12:00 PM,50,1002,2017
Gert,TROPICAL STORM,2,30.60,-72.30,08/14 6:00 PM,60,992,2017
Gert,HURRICANE-1,3,31.20,-72.30,08/15 12:00 AM,65,986,2017
Gert,HURRICANE-1,3,31.80,-72.50,08/15 6:00 AM,65,986,2017
Gert,HURRICANE-1,3,32.80,-72.00,08/15 12:00 PM,65,986,2017
Gert,HURRICANE-1,3,33.70,-71.20,08/15 6:00 PM,70,981,2017
Gert,HURRICANE-1,3,34.80,-70.30,08/16 12:00 AM,75,979,2017
Gert,HURRICANE-1,3,36.00,-68.40,08/16 6:00 AM,80,975,2017
Gert,HURRICANE-1,3,37.40,-65.70,08/16 12:00 PM,80,975,2017
Gert,HURRICANE-2,4,38.70,-62.40,08/16 6:00 PM,85,970,2017
Gert,HURRICANE-2,4,40.10,-58.40,08/17 12:00 AM,90,967,2017
Gert,HURRICANE-2,4,41.70,-54.00,08/17 6:00 AM,85,968,2017
Gert,HURRICANE-1,3,43.20,-50.00,08/17 12:00 PM,70,975,2017
Harvey,TROPICAL STORM,2,13.00,-55.80,08/17 6:00 PM,35,1004,2017
Harvey,TROPICAL STORM,2,13.00,-57.40,08/18 12:00 AM,35,1005,2017
Harvey,TROPICAL STORM,2,13.10,-59.10,08/18 6:00 AM,35,1004,2017
Harvey,TROPICAL STORM,2,13.10,-61.30,08/18 12:00 PM,35,1005,2017
Harvey,TROPICAL STORM,2,13.40,-62.90,08/18 6:00 PM,35,1005,2017
Harvey,TROPICAL STORM,2,13.70,-64.10,08/19 12:00 AM,35,1005,2017
Harvey,TROPICAL STORM,2,13.80,-65.90,08/19 6:00 AM,35,1005,2017
Harvey,TROPICAL STORM,2,13.90,-68.10,08/19 12:00 PM,35,1007,2017
Harvey,TROPICAL DEPRESSION,1,14.10,-70.00,08/19 6:00 PM,30,1007,2017
Harvey,TROPICAL DEPRESSION,1,21.50,-92.50,08/23 12:00 PM,30,1006,2017
Harvey,TROPICAL DEPRESSION,1,21.60,-92.60,08/23 6:00 PM,30,1005,2017
Harvey,TROPICAL DEPRESSION,1,21.90,-92.60,08/24 12:00 AM,30,1002,2017
Harvey,TROPICAL STORM,2,23.20,-92.80,08/24 6:00 AM,40,995,2017
Harvey,TROPICAL STORM,2,24.00,-93.30,08/24 12:00 PM,55,982,2017
Harvey,HURRICANE-1,3,24.40,-93.60,08/24 6:00 PM,75,979,2017
Harvey,HURRICANE-1,3,24.70,-93.90,08/24 6:00 PM,75,976,2017
Harvey,HURRICANE-1,3,25.20,-94.60,08/25 12:00 AM,75,973,2017
Harvey,HURRICANE-2,4,25.90,-95.40,08/25 6:00 AM,90,967,2017
Harvey,HURRICANE-2,4,26.70,-96.00,08/25 12:00 PM,95,947,2017
Harvey,HURRICANE-3,5,27.50,-96.50,08/25 6:00 PM,110,941,2017
Harvey,HURRICANE-4,6,28.00,-97.00,08/26 12:00 AM,115,938,2017
Harvey,HURRICANE-2,4,28.50,-97.20,08/26 6:00 AM,85,963,2017
Harvey,HURRICANE-1,3,28.90,-97.30,08/26 12:00 PM,65,984,2017
Harvey,TROPICAL STORM,2,29.10,-97.60,08/26 6:00 PM,55,990,2017
Harvey,TROPICAL STORM,2,29.30,-97.30,08/27 12:00 AM,45,994,2017
Harvey,TROPICAL STORM,2,29.20,-97.70,08/27 6:00 AM,40,998,2017
Harvey,TROPICAL STORM,2,29.00,-97.40,08/27 12:00 PM,35,1000,2017
Harvey,TROPICAL STORM,2,29.00,-97.00,08/27 6:00 PM,35,1000,2017
Harvey,TROPICAL STORM,2,28.80,-96.60,08/28 12:00 AM,35,1000,2017
Harvey,TROPICAL STORM,2,28.60,-96.30,08/28 6:00 AM,35,998,2017
Harvey,TROPICAL STORM,2,28.50,-96.00,08/28 12:00 PM,35,997,2017
Harvey,TROPICAL STORM,2,28.50,-95.70,08/28 6:00 PM,40,997,2017
Harvey,TROPICAL STORM,2,28.20,-95.30,08/29 12:00 AM,40,997,2017
Harvey,TROPICAL STORM,2,28.10,-94.80,08/29 6:00 AM,40,997,2017
Harvey,TROPICAL STORM,2,28.40,-94.30,08/29 12:00 PM,40,997,2017
Harvey,TROPICAL STORM,2,29.20,-94.30,08/29 6:00 PM,45,994,2017
Harvey,TROPICAL STORM,2,29.00,-93.60,08/30 12:00 AM,45,994,2017
Harvey,TROPICAL STORM,2,29.80,-93.40,08/30 6:00 AM,40,990,2017
Harvey,TROPICAL STORM,2,30.50,-93.30,08/30 12:00 PM,40,993,2017
Harvey,TROPICAL STORM,2,30.80,-93.10,08/30 6:00 PM,35,998,2017
Harvey,TROPICAL DEPRESSION,1,31.70,-92.30,08/31 12:00 AM,30,998,2017
Harvey,TROPICAL DEPRESSION,1,32.30,-92.00,08/31 6:00 AM,25,998,2017
Harvey,TROPICAL DEPRESSION,1,32.50,-91.40,08/31 12:00 PM,15,1002,2017
Harvey,TROPICAL DEPRESSION,1,33.80,-90.50,08/31 6:00 PM,15,1000,2017
Harvey,TROPICAL DEPRESSION,1,34.30,-89.00,09/01 12:00 AM,25,1000,2017
Harvey,TROPICAL DEPRESSION,1,35.70,-87.20,09/01 6:00 AM,25,1001,2017
Irma,TROPICAL STORM,2,16.40000000,-30.30000000,08/30 12:00 PM,45,1004,2017
Irma,TROPICAL STORM,2,16.40000000,-31.20000000,08/30 6:00 PM,50,1001,2017
Irma,TROPICAL STORM,2,16.40000000,-32.20000000,08/31 12:00 AM,55,999,2017
Irma,TROPICAL STORM,2,16.50000000,-32.90000000,08/31 6:00 AM,60,997,2017
Irma,HURRICANE-2,4,16.90000000,-33.80000000,08/31 12:00 PM,85,979,2017
Irma,HURRICANE-3,5,17.30000000,-34.80000000,08/31 6:00 PM,100,967,2017
Irma,HURRICANE-3,5,17.80000000,-35.60000000,09/01 12:00 AM,100,967,2017
Irma,HURRICANE-3,5,18.20000000,-36.50000000,09/01 6:00 AM,100,967,2017
Irma,HURRICANE-2,4,18.50000000,-37.80000000,09/01 12:00 PM,95,972,2017
Irma,HURRICANE-3,5,18.80000000,-39.10000000,09/01 6:00 PM,105,964,2017
Irma,HURRICANE-3,5,19.10000000,-40.50000000,09/02 12:00 AM,100,967,2017
Irma,HURRICANE-2,4,19.00000000,-41.80000000,09/02 6:00 AM,95,970,2017
Irma,HURRICANE-2,4,18.80000000,-43.30000000,09/02 12:00 PM,95,973,2017
Irma,HURRICANE-2,4,18.50000000,-44.60000000,09/02 6:00 PM,95,973,2017
Irma,HURRICANE-2,4,18.30000000,-46.20000000,09/03 12:00 AM,95,973,2017
Irma,HURRICANE-3,5,18.00000000,-47.50000000,09/03 6:00 AM,100,969,2017
Irma,HURRICANE-3,5,17.70000000,-48.40000000,09/03 12:00 PM,100,969,2017
Irma,HURRICANE-3,5,17.60000000,-49.80000000,09/03 6:00 PM,100,969,2017
Irma,HURRICANE-3,5,17.20000000,-51.00000000,09/04 12:00 AM,100,961,2017
Irma,HURRICANE-3,5,16.90000000,-52.30000000,09/04 6:00 AM,100,961,2017
Irma,HURRICANE-3,5,16.80000000,-53.30000000,09/04 12:00 PM,105,944,2017
Irma,HURRICANE-4,6,16.70000000,-54.40000000,09/04 6:00 PM,115,944,2017
Irma,HURRICANE-4,6,16.70000000,-55.60000000,09/05 12:00 AM,120,943,2017
Irma,HURRICANE-4,6,16.60000000,-57.00000000,09/05 6:00 AM,130,937,2017
Irma,HURRICANE-5,7,16.70000000,-57.70000000,09/05 6:00 AM,150,929,2017
Irma,HURRICANE-5,7,16.80000000,-58.40000000,09/05 12:00 PM,155,931,2017
Irma,HURRICANE-5,7,17.10000000,-59.80000000,09/05 6:00 PM,160,926,2017
Irma,HURRICANE-5,7,17.40000000,-61.10000000,09/06 12:00 AM,160,916,2017
Irma,HURRICANE-5,7,17.90000000,-62.60000000,09/06 6:00 AM,160,914,2017
Irma,HURRICANE-5,7,18.20000000,-64.00000000,09/06 12:00 PM,160,918,2017
Irma,HURRICANE-5,7,18.80000000,-65.40000000,09/06 6:00 PM,160,914,2017
Irma,HURRICANE-5,7,19.40000000,-66.80000000,09/07 12:00 AM,160,916,2017
Irma,HURRICANE-5,7,20.00000000,-68.30000000,09/07 6:00 AM,155,921,2017
Irma,HURRICANE-5,7,20.40000000,-69.70000000,09/07 12:00 PM,150,921,2017
Irma,HURRICANE-5,7,20.90000000,-71.10000000,09/07 6:00 PM,150,922,2017
Irma,HURRICANE-5,7,21.30000000,-72.40000000,09/08 12:00 AM,145,920,2017
Irma,HURRICANE-4,6,21.70000000,-73.80000000,09/08 6:00 AM,135,925,2017
