NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR,YEAR
Danny,TROPICAL DEPRESSION,1,10.6,-36.5,08/18 12:00 PM,30,1009,2015
Danny,TROPICAL STORM,2,10.9,-37.5,08/18 6:00 PM,35,1008,2015
Danny,TROPICAL STORM,2,11.2,-38.8,08/19 12:00 AM,45,1000,2015
Danny,TROPICAL STORM,2,11.3,-40.2,08/19 6:00 AM,45,1000,2015
Danny,TROPICAL STORM,2,11.2,-41.1,08/19 12:00 PM,45,1000,2015
Danny,TROPICAL STORM,2,11.5,-42,08/19 6:00 PM,45,1000,2015
Danny,TROPICAL STORM,2,12.1,-42.7,08/20 12:00 AM,45,1000,2015
Danny,TROPICAL STORM,2,12.2,-43.7,08/20 6:00 AM,45,1000,2015
Danny,HURRICANE-1,3,12.5,-44.8,08/20 12:00 PM,65,992,2015
Danny,HURRICANE-1,3,13,-45.7,08/20 6:00 PM,70,990,2015
Danny,HURRICANE-1,3,13.4,-46.6,08/21 12:00 AM,70,990,2015
Danny,HURRICANE-1,3,13.7,-47.4,08/21 6:00 AM,75,987,2015
Danny,HURRICANE-2,4,14,-48.2,08/21 12:00 PM,90,976,2015
Danny,HURRICANE-3,5,14.5,-49.1,08/21 6:00 PM,100,974,2015
Danny,HURRICANE-2,4,14.8,-49.8,08/22 12:00 AM,95,977,2015
Danny,HURRICANE-2,4,15.2,-50.8,08/22 6:00 AM,85,982,2015
Danny,HURRICANE-1,3,15.4,-52,08/22 12:00 PM,80,984,2015
Danny,HURRICANE-1,3,15.8,-53.3,08/22 6:00 PM,65,991,2015
Danny,TROPICAL STORM,2,15.6,-54.7,08/23 12:00 AM,50,999,2015
Danny,TROPICAL STORM,2,15.8,-56,08/23 6:00 AM,45,1001,2015
Danny,TROPICAL STORM,2,15.8,-57.3,08/23 12:00 PM,45,1003,2015
Danny,TROPICAL STORM,2,15.6,-59,08/23 6:00 PM,35,1006,2015
Danny,TROPICAL STORM,2,15.6,-59.8,08/24 12:00 AM,35,1009,2015
Danny,TROPICAL STORM,2,15.8,-60.5,08/24 6:00 AM,35,1007,2015
Danny,TROPICAL DEPRESSION,1,16,-62,08/24 12:00 PM,25,1010,2015
Fred,TROPICAL DEPRESSION,1,12.1,-18.4,08/30 12:00 AM,30,1007,2015
Fred,TROPICAL STORM,2,12.4,-18.9,08/30 6:00 AM,35,1005,2015
Fred,TROPICAL STORM,2,13.4,-19.9,08/30 12:00 PM,45,1003,2015
Fred,TROPICAL STORM,2,14.4,-21.3,08/30 6:00 PM,55,998,2015
Fred,TROPICAL STORM,2,15.3,-22.4,08/31 12:00 AM,60,995,2015
Fred,HURRICANE-1,3,15.6,-22.9,08/31 6:00 AM,70,989,2015
Fred,HURRICANE-1,3,16.4,-23.7,08/31 12:00 PM,75,986,2015
Fred,HURRICANE-1,3,17.2,-24.6,08/31 6:00 PM,70,989,2015
Fred,TROPICAL STORM,2,17.9,-25.2,09/01 12:00 AM,60,995,2015
Fred,TROPICAL STORM,2,18,-26.1,09/01 6:00 AM,55,997,2015
Fred,TROPICAL STORM,2,18.3,-27,09/01 12:00 PM,45,1003,2015
Fred,TROPICAL STORM,2,18.8,-28.1,09/01 6:00 PM,45,1003,2015
Fred,TROPICAL STORM,2,19.4,-29.1,09/02 12:00 AM,45,1003,2015
Fred,TROPICAL STORM,2,19.5,-30.1,09/02 6:00 AM,40,1005,2015
Fred,TROPICAL STORM,2,19.8,-30.9,09/02 12:00 PM,40,1004,2015
Fred,TROPICAL STORM,2,20.3,-31.8,09/02 6:00 PM,35,1006,2015
Fred,TROPICAL STORM,2,20.6,-32.7,09/03 12:00 AM,35,1006,2015
Fred,TROPICAL STORM,2,20.8,-33.2,09/03 6:00 AM,40,1005,2015
Fred,TROPICAL STORM,2,21.5,-34.1,09/03 12:00 PM,35,1005,2015
Fred,TROPICAL STORM,2,22,-35.4,09/03 6:00 PM,35,1005,2015
Fred,TROPICAL STORM,2,22,-36.5,09/04 12:00 AM,35,1005,2015
Fred,TROPICAL STORM,2,22.1,-37.2,09/04 6:00 AM,35,1005,2015
Fred,TROPICAL DEPRESSION,1,22.3,-38.3,09/04 12:00 PM,30,1006,2015
Fred,TROPICAL DEPRESSION,1,22.6,-39.1,09/04 6:00 PM,30,1006,2015
Fred,TROPICAL STORM,2,22.8,-40.1,09/05 12:00 AM,35,1009,2015
Fred,TROPICAL STORM,2,23.2,-41,09/05 6:00 AM,35,1007,2015
Fred,TROPICAL STORM,2,23.4,-41.8,09/05 12:00 PM,35,1007,2015
Fred,TROPICAL DEPRESSION,1,23.8,-42.5,09/05 6:00 PM,30,1008,2015
Fred,TROPICAL DEPRESSION,1,24.1,-43.1,09/06 12:00 AM,30,1010,2015
Fred,TROPICAL DEPRESSION,1,24.9,-43.2,09/06 6:00 AM,30,1010,2015
Fred,TROPICAL DEPRESSION,1,25.7,-43.2,09/06 12:00 PM,30,1010,2015
Joaquin,TROPICAL DEPRESSION,1,27.5,-68.7,09/28 12:00 AM,30,1007,2015
Joaquin,TROPICAL DEPRESSION,1,27.3,-68.9,09/28 6:00 AM,30,1007,2015
Joaquin,TROPICAL DEPRESSION,1,27.8,-69.6,09/28 12:00 PM,30,1006,2015
Joaquin,TROPICAL DEPRESSION,1,27.5,-70.2,09/28 6:00 PM,30,1003,2015
Joaquin,TROPICAL STORM,2,26.7,-70.4,09/29 12:00 AM,35,1002,2015
Joaquin,TROPICAL STORM,2,26.6,-70.6,09/29 6:00 AM,35,1002,2015
Joaquin,TROPICAL STORM,2,26.5,-70.8,09/29 12:00 PM,40,1001,2015
Joaquin,TROPICAL STORM,2,26,-71,09/29 6:00 PM,55,990,2015
Joaquin,TROPICAL STORM,2,25.8,-71.7,09/30 12:00 AM,60,988,2015
Joaquin,TROPICAL STORM,2,25.4,-72.5,09/30 6:00 AM,60,988,2015
Joaquin,HURRICANE-1,3,24.7,-72.6,09/30 12:00 PM,70,971,2015
Joaquin,HURRICANE-1,3,24.3,-73.1,09/30 6:00 PM,75,967,2015
Joaquin,HURRICANE-3,5,23.8,-73.1,10/01 12:00 AM,100,951,2015
Joaquin,HURRICANE-3,5,23.4,-73.7,10/01 6:00 AM,105,948,2015
Joaquin,HURRICANE-3,5,23,-73.9,10/01 12:00 PM,110,942,2015
Joaquin,HURRICANE-4,6,23,-74.4,10/01 6:00 PM,115,936,2015
Joaquin,HURRICANE-4,6,22.9,-74.6,10/02 12:00 AM,115,935,2015
Joaquin,HURRICANE-4,6,23.3,-74.7,10/02 6:00 AM,115,935,2015
Joaquin,HURRICANE-4,6,23.5,-74.8,10/02 12:00 PM,115,949,2015
Joaquin,HURRICANE-3,5,24.1,-74.7,10/02 6:00 PM,110,942,2015
Joaquin,HURRICANE-3,5,24.7,-74,10/03 12:00 AM,110,944,2015
Joaquin,HURRICANE-3,5,25.2,-73.1,10/03 6:00 AM,110,935,2015
Joaquin,HURRICANE-4,6,25.8,-72,10/03 12:00 PM,115,936,2015
Joaquin,HURRICANE-4,6,26,-71.6,10/03 6:00 PM,135,933,2015
Joaquin,HURRICANE-4,6,27,-70.5,10/04 12:00 AM,130,944,2015
Joaquin,HURRICANE-4,6,28,-68.9,10/04 3:00 AM,115,954,2015
Joaquin,HURRICANE-3,5,29.7,-67.7,10/04 6:00 AM,105,952,2015
Joaquin,HURRICANE-2,4,31,-66.8,10/04 12:00 PM,95,957,2015
Joaquin,HURRICANE-2,4,32.2,-66.4,10/04 6:00 PM,90,958,2015
Joaquin,HURRICANE-1,3,33.1,-65.5,10/05 12:00 AM,75,961,2015
Joaquin,HURRICANE-1,3,34.1,-65.2,10/05 6:00 AM,75,964,2015
Joaquin,HURRICANE-1,3,35,-64.6,10/05 12:00 PM,75,964,2015
Joaquin,HURRICANE-1,3,35.8,-64,10/05 6:00 PM,75,964,2015
Joaquin,HURRICANE-1,3,36.8,-62.7,10/06 12:00 AM,75,970,2015
Joaquin,HURRICANE-1,3,37.5,-61,10/06 6:00 AM,75,970,2015
Joaquin,HURRICANE-1,3,38.3,-59.6,10/06 12:00 PM,70,974,2015
Joaquin,HURRICANE-1,3,39,-56.9,10/06 6:00 PM,70,974,2015
Joaquin,HURRICANE-1,3,40,-53.1,10/07 12:00 AM,70,974,2015
Joaquin,HURRICANE-1,3,40.5,-49.4,10/07 6:00 AM,65,977,2015
Joaquin,TROPICAL STORM,2,41,-45.6,10/07 12:00 PM,60,978,2015
Joaquin,TROPICAL STORM,2,41.5,-41,10/07 6:00 PM,60,977,2015
Joaquin,TROPICAL STORM,2,42,-37,10/08 12:00 AM,50,977,2015
Kate,TROPICAL DEPRESSION,1,23,-73,11/09 12:00 AM,30,1010,2015
Kate,TROPICAL DEPRESSION,1,23.6,-74.6,11/09 6:00 AM,30,1010,2015
Kate,TROPICAL STORM,2,24.5,-75.3,11/09 12:00 PM,40,1008,2015
Kate,TROPICAL STORM,2,25.5,-76.1,11/09 6:00 PM,40,1008,2015
Kate,TROPICAL STORM,2,27.2,-76,11/10 12:00 AM,50,1005,2015
Kate,TROPICAL STORM,2,28.8,-75.8,11/10 6:00 AM,50,1005,2015
Kate,HURRICANE-1,3,30.2,-74.7,11/10 12:00 PM,65,999,2015
Kate,TROPICAL STORM,2,32.2,-72.7,11/10 6:00 PM,60,999,2015
Kate,HURRICANE-1,3,33.9,-69.5,11/11 12:00 AM,65,998,2015
Kate,HURRICANE-1,3,36,-65.7,11/11 6:00 AM,65,996,2015
Kate,HURRICANE-1,3,36.8,-60.5,11/11 12:00 PM,65,985,2015
Kate,HURRICANE-1,3,38.2,-56.4,11/11 6:00 PM,65,985,2015
Kate,TROPICAL STORM,2,40.1,-52.3,11/12 12:00 AM,60,983,2015
Kate,TROPICAL STORM,2,41.2,-50,11/12 12:00 PM,60,-,2015
Kate,TROPICAL STORM,2,42.2,-46.8,11/13 12:00 AM,55,-,2015
Kate,TROPICAL STORM,2,43.1,-43,11/13 12:00 PM,45,-,2015
