NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR,YEAR
Chris,TROPICAL STORM,2,39.3,-57.7,06/19 9:00 PM,40,1005,2012
Chris,TROPICAL STORM,2,38.8,-56,06/20 3:00 AM,40,1005,2012
Chris,TROPICAL STORM,2,38.2,-53.5,06/20 9:00 AM,40,1005,2012
Chris,TROPICAL STORM,2,38.1,-51.3,06/20 3:00 PM,45,1000,2012
Chris,TROPICAL STORM,2,38.5,-49,06/20 9:00 PM,50,997,2012
Chris,TROPICAL STORM,2,38.9,-46.4,06/21 3:00 AM,50,994,2012
Chris,TROPICAL STORM,2,39.9,-44.8,06/21 9:00 AM,50,995,2012
Chris,HURRICANE-1,3,41.1,-43.2,06/21 3:00 PM,65,987,2012
Chris,TROPICAL STORM,2,42.4,-42.9,06/21 9:00 PM,60,990,2012
Chris,TROPICAL STORM,2,43.6,-42.9,06/22 3:00 AM,55,987,2012
Chris,TROPICAL STORM,2,44.8,-44.5,06/22 9:00 AM,45,989,2012
Ernesto,TROPICAL DEPRESSION,1,11.6,-46.7,08/01 12:00 PM,30,1008,2012
Ernesto,TROPICAL DEPRESSION,1,12,-48.2,08/01 6:00 PM,30,1008,2012
Ernesto,TROPICAL DEPRESSION,1,12.4,-49.9,08/02 12:00 AM,30,1008,2012
Ernesto,TROPICAL DEPRESSION,1,12.7,-51.7,08/02 6:00 AM,30,1008,2012
Ernesto,TROPICAL STORM,2,13,-53.6,08/02 12:00 PM,35,1007,2012
Ernesto,TROPICAL STORM,2,13.2,-55.5,08/02 6:00 PM,45,1006,2012
Ernesto,TROPICAL STORM,2,13.4,-57.5,08/03 12:00 AM,45,1005,2012
Ernesto,TROPICAL STORM,2,13.6,-59.7,08/03 6:00 AM,40,1005,2012
Ernesto,TROPICAL STORM,2,13.7,-61.6,08/03 12:00 PM,40,1003,2012
Ernesto,TROPICAL STORM,2,13.8,-63.3,08/03 6:00 PM,40,1003,2012
Ernesto,TROPICAL STORM,2,13.8,-64.8,08/04 12:00 AM,40,1004,2012
Ernesto,TROPICAL STORM,2,13.9,-66.4,08/04 6:00 AM,45,1005,2012
Ernesto,TROPICAL STORM,2,14.2,-67.9,08/04 12:00 PM,45,1005,2012
Ernesto,TROPICAL STORM,2,14.6,-69.5,08/04 6:00 PM,45,1005,2012
Ernesto,TROPICAL STORM,2,15,-71.5,08/05 12:00 AM,45,1006,2012
Ernesto,TROPICAL STORM,2,15,-73.8,08/05 6:00 AM,45,1006,2012
Ernesto,TROPICAL STORM,2,15,-76.1,08/05 12:00 PM,45,1006,2012
Ernesto,TROPICAL STORM,2,15.1,-77.8,08/05 6:00 PM,45,1005,2012
Ernesto,TROPICAL STORM,2,15.2,-78.9,08/06 12:00 AM,45,1003,2012
Ernesto,TROPICAL STORM,2,15.4,-79.6,08/06 6:00 AM,50,998,2012
Ernesto,TROPICAL STORM,2,15.7,-80.2,08/06 12:00 PM,55,996,2012
Ernesto,TROPICAL STORM,2,16.2,-81.2,08/06 6:00 PM,55,995,2012
Ernesto,TROPICAL STORM,2,16.7,-82.2,08/07 12:00 AM,55,994,2012
Ernesto,TROPICAL STORM,2,17.3,-83.3,08/07 6:00 AM,55,993,2012
Ernesto,HURRICANE-1,3,17.8,-84.4,08/07 12:00 PM,65,988,2012
Ernesto,HURRICANE-1,3,18.4,-85.7,08/07 6:00 PM,75,983,2012
Ernesto,HURRICANE-1,3,18.7,-87.1,08/08 12:00 AM,80,979,2012
