NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR
Humberto,TROPICAL DEPRESSION,1,13.1,-20.7,09/08 9:00 PM,25,1007
Humberto,TROPICAL DEPRESSION,1,13.1,-21.4,09/09 12:00 AM,25,1007
Humberto,TROPICAL DEPRESSION,1,13.2,-21.9,09/09 3:00 AM,30,1006
Humberto,TROPICAL DEPRESSION,1,13.3,-22.3,09/09 6:00 AM,30,1005
Humberto,TROPICAL STORM,2,13.4,-22.8,09/09 9:00 AM,35,1005
Humberto,TROPICAL STORM,2,13.4,-23.3,09/09 12:00 PM,35,1005
Humberto,TROPICAL STORM,2,13.6,-24.1,09/09 3:00 PM,40,1005
Humberto,TROPICAL STORM,2,13.6,-24.8,09/09 6:00 PM,40,1005
Humberto,TROPICAL STORM,2,13.7,-25.3,09/09 9:00 PM,45,1002
Humberto,TROPICAL STORM,2,13.9,-25.9,09/10 3:00 AM,50,1000
Humberto,TROPICAL STORM,2,14.4,-26.6,09/10 9:00 AM,55,998
Humberto,TROPICAL STORM,2,14.6,-27.7,09/10 3:00 PM,55,998
Humberto,TROPICAL STORM,2,15,-28.1,09/10 9:00 PM,60,993
Humberto,TROPICAL STORM,2,15.4,-28.4,09/11 3:00 AM,60,995
Humberto,HURRICANE-1,3,16,-28.9,09/11 9:00 AM,65,992
Humberto,HURRICANE-1,3,16.7,-29.1,09/11 3:00 PM,70,989
Humberto,HURRICANE-1,3,18,-29,09/11 9:00 PM,75,986
Humberto,HURRICANE-1,3,19.1,-29,09/12 3:00 AM,75,982
Humberto,HURRICANE-1,3,20.5,-28.7,09/12 9:00 AM,75,982
Humberto,HURRICANE-1,3,21.8,-29,09/12 3:00 PM,75,982
Humberto,HURRICANE-1,3,23.1,-29.2,09/12 9:00 PM,75,982
Humberto,HURRICANE-1,3,23.4,-29.7,09/13 3:00 AM,70,984
Humberto,HURRICANE-1,3,24.4,-30.2,09/13 9:00 AM,65,984
Humberto,TROPICAL STORM,2,24.7,-31.3,09/13 3:00 PM,55,991
Humberto,TROPICAL STORM,2,25,-32.1,09/13 9:00 PM,45,996
Humberto,TROPICAL STORM,2,24.8,-33,09/14 3:00 AM,40,999
Humberto,TROPICAL STORM,2,25,-34,09/14 9:00 AM,35,1003
Humberto,TROPICAL STORM,2,27.2,-43.2,09/16 3:00 PM,35,1007
Humberto,TROPICAL STORM,2,27.3,-43.5,09/16 9:00 PM,40,1003
Humberto,TROPICAL STORM,2,27,-43.3,09/17 3:00 AM,35,1005
Humberto,TROPICAL STORM,2,27.8,-42.7,09/17 9:00 AM,35,1007
Humberto,TROPICAL STORM,2,29.4,-42.5,09/17 3:00 PM,40,1007
Humberto,TROPICAL STORM,2,30.3,-42.8,09/17 9:00 PM,40,1005
Humberto,TROPICAL STORM,2,30.8,-43.3,09/18 3:00 AM,35,1007
Humberto,TROPICAL STORM,2,31.4,-43.7,09/18 9:00 AM,35,1007
Humberto,TROPICAL STORM,2,31.3,-43.8,09/18 3:00 PM,35,1007
Humberto,TROPICAL STORM,2,31.8,-43.7,09/18 9:00 PM,35,1007
Humberto,TROPICAL DEPRESSION,1,32.5,-43.4,09/19 3:00 AM,30,1009
Humberto,TROPICAL DEPRESSION,1,33,-44.3,09/19 9:00 AM,30,1009
Humberto,TROPICAL DEPRESSION,1,32.8,-43.3,09/19 3:00 PM,30,1005
Ingrid,TROPICAL DEPRESSION,1,19.7,-93.6,09/12 9:00 PM,30,1003
Ingrid,TROPICAL DEPRESSION,1,19.7,-93.7,09/13 12:00 AM,30,1003
Ingrid,TROPICAL DEPRESSION,1,19.7,-94,09/13 3:00 AM,30,1003
Ingrid,TROPICAL DEPRESSION,1,19.8,-94.2,09/13 6:00 AM,30,1003
Ingrid,TROPICAL DEPRESSION,1,19.7,-94.5,09/13 9:00 AM,30,1002
Ingrid,TROPICAL DEPRESSION,1,19.5,-95,09/13 12:00 PM,30,1000
Ingrid,TROPICAL STORM,2,19.4,-95.3,09/13 3:00 PM,40,1000
Ingrid,TROPICAL STORM,2,19.4,-95.4,09/13 6:00 PM,40,999
Ingrid,TROPICAL STORM,2,19.2,-95.4,09/13 9:00 PM,40,999
Ingrid,TROPICAL STORM,2,19.2,-95.3,09/14 12:00 AM,50,993
Ingrid,TROPICAL STORM,2,19.3,-95.2,09/14 3:00 AM,50,993
Ingrid,TROPICAL STORM,2,19.7,-95.2,09/14 6:00 AM,50,993
Ingrid,TROPICAL STORM,2,19.8,-95,09/14 9:00 AM,50,991
Ingrid,TROPICAL STORM,2,20.3,-94.5,09/14 12:00 PM,55,989
Ingrid,TROPICAL STORM,2,20.6,-94.5,09/14 3:00 PM,60,988
Ingrid,TROPICAL STORM,2,20.9,-94.4,09/14 6:00 PM,60,988
Ingrid,HURRICANE-1,3,21.3,-94.4,09/14 9:00 PM,65,987
Ingrid,HURRICANE-1,3,21.6,-94.7,09/15 12:00 AM,70,983
Ingrid,HURRICANE-1,3,22,-95,09/15 3:00 AM,75,986
Ingrid,HURRICANE-1,3,22.2,-95.2,09/15 6:00 AM,75,986
Ingrid,HURRICANE-1,3,22.4,-95.4,09/15 9:00 AM,75,986
Ingrid,HURRICANE-1,3,22.5,-95.6,09/15 12:00 PM,75,986
Ingrid,HURRICANE-1,3,22.5,-95.8,09/15 3:00 PM,65,990
Ingrid,HURRICANE-1,3,22.6,-96.1,09/15 6:00 PM,65,990
Ingrid,HURRICANE-1,3,22.7,-96.3,09/15 9:00 PM,65,990
Ingrid,HURRICANE-1,3,22.9,-96.1,09/16 12:00 AM,65,987
Ingrid,HURRICANE-1,3,23.1,-96.5,09/16 3:00 AM,65,989
Ingrid,HURRICANE-1,3,23.2,-96.9,09/16 6:00 AM,65,989
Ingrid,HURRICANE-1,3,23.4,-97.1,09/16 9:00 AM,65,989
Ingrid,TROPICAL STORM,2,23.8,-97.8,09/16 12:00 PM,55,991
Ingrid,TROPICAL STORM,2,23.8,-98.2,09/16 3:00 PM,50,993
Ingrid,TROPICAL STORM,2,23.7,-98.6,09/16 6:00 PM,40,998
Ingrid,TROPICAL DEPRESSION,1,23.7,-99,09/16 9:00 PM,30,1002
Ingrid,TROPICAL DEPRESSION,1,23.7,-99.4,09/17 3:00 AM,25,1006
